wateryear,"(48.28125, -122.46875)","(48.28125, -122.40625)","(48.28125, -122.34375)","(48.28125, -122.28125)","(48.28125, -122.21875)","(48.28125, -122.15625)","(48.28125, -122.09375)","(48.28125, -122.03125)","(48.34375, -122.46875)","(48.34375, -122.40625)","(48.34375, -122.34375)","(48.34375, -122.28125)","(48.34375, -122.21875)","(48.34375, -122.15625)","(48.34375, -122.09375)","(48.34375, -122.03125)","(48.40625, -122.46875)","(48.40625, -122.40625)","(48.40625, -122.34375)","(48.40625, -122.28125)","(48.40625, -122.21875)","(48.40625, -122.15625)","(48.40625, -122.09375)","(48.40625, -122.03125)","(48.46875, -122.46875)","(48.46875, -122.40625)","(48.46875, -122.34375)","(48.46875, -122.28125)","(48.46875, -122.21875)","(48.46875, -122.15625)","(48.46875, -122.09375)","(48.46875, -122.03125)","(48.53125, -122.46875)","(48.53125, -122.40625)","(48.53125, -122.34375)","(48.53125, -122.28125)","(48.53125, -122.21875)","(48.53125, -122.15625)","(48.53125, -122.09375)","(48.53125, -122.03125)","(48.59375, -122.46875)","(48.59375, -122.40625)","(48.59375, -122.34375)","(48.59375, -122.28125)","(48.59375, -122.21875)","(48.59375, -122.15625)","(48.59375, -122.09375)","(48.59375, -122.03125)","(48.65625, -122.46875)","(48.65625, -122.40625)","(48.65625, -122.34375)","(48.65625, -122.28125)","(48.65625, -122.21875)","(48.65625, -122.15625)","(48.65625, -122.09375)","(48.65625, -122.03125)","(48.71875, -122.46875)","(48.71875, -122.40625)","(48.71875, -122.34375)","(48.71875, -122.28125)","(48.71875, -122.21875)","(48.71875, -122.15625)","(48.71875, -122.09375)","(48.71875, -122.03125)"
2041,,,55.24173355102539,87.30073547363281,115.2740478515625,131.47323608398438,155.86993408203125,128.1837921142578,,25.923933029174805,40.465354919433594,75.50051879882812,85.38189697265625,135.0106964111328,156.20932006835938,150.07424926757812,23.417692184448242,28.247426986694336,30.414281845092773,43.71563720703125,76.97554779052734,191.205322265625,253.09120178222656,216.35911560058594,,27.72529411315918,30.70145606994629,59.26216506958008,104.87052917480469,153.3506317138672,141.98117065429688,131.6298828125,26.34164047241211,31.615188598632812,46.9267578125,67.5249252319336,103.86542510986328,134.33192443847656,130.62477111816406,102.12933349609375,,65.29280853271484,69.22186279296875,105.28823852539062,148.7689208984375,283.7273864746094,177.32962036132812,176.16787719726562,85.49937438964844,109.70027160644531,132.0084228515625,163.70193481445312,153.79444885253906,155.16505432128906,157.24053955078125,237.2836151123047,89.40232849121094,118.79844665527344,131.52545166015625,213.31768798828125,146.1451873779297,117.24510192871094,140.81942749023438,230.19564819335938
2042,,,93.64466094970703,157.67129516601562,219.46580505371094,267.1627197265625,328.57867431640625,356.6564025878906,,77.9153823852539,99.89720916748047,162.7882080078125,165.79046630859375,279.0673522949219,360.0502624511719,428.4106140136719,101.26781463623047,120.65202331542969,118.75928497314453,142.32057189941406,195.08216857910156,561.2413940429688,1033.1065673828125,1381.4349365234375,,107.089599609375,124.48970031738281,167.93121337890625,277.2007141113281,431.36065673828125,443.82659912109375,458.1722412109375,143.66505432128906,144.76153564453125,167.98342895507812,210.23709106445312,290.8675842285156,492.69830322265625,530.2266845703125,292.4600830078125,,273.0105895996094,284.0406799316406,425.8260498046875,684.1386108398438,1767.578857421875,900.3018798828125,984.822265625,358.8232727050781,580.1687622070312,816.39501953125,1052.98681640625,1005.498779296875,1221.1138916015625,746.5857543945312,1797.54931640625,290.60650634765625,470.14215087890625,686.6840209960938,1299.8123779296875,1111.5440673828125,446.7113952636719,792.050537109375,1786.29736328125
2043,,,128.7059326171875,180.82791137695312,208.09634399414062,221.3063201904297,271.626953125,288.9356689453125,,89.66339111328125,123.04077911376953,205.36819458007812,221.47601318359375,266.3795166015625,305.5264587402344,329.9884338378906,105.9539566040039,120.50843048095703,125.28595733642578,146.11907958984375,185.2399444580078,505.5950012207031,1479.92236328125,1263.0150146484375,,122.00956726074219,130.20706176757812,146.18435668945312,222.61166381835938,346.1615295410156,374.4872741699219,390.0729675292969,99.2967529296875,113.5118408203125,135.49366760253906,164.47207641601562,228.10711669921875,369.34423828125,452.9247741699219,261.0798645019531,,167.3699188232422,185.39659118652344,277.3051452636719,412.87713623046875,1491.3179931640625,925.0640869140625,898.0567626953125,259.4873352050781,314.272216796875,494.05584716796875,681.4235229492188,688.4070434570312,827.3206787109375,821.9557495117188,1882.00439453125,252.6082305908203,360.5462951660156,372.08544921875,640.1227416992188,566.2147216796875,377.2023620605469,819.13623046875,1898.621337890625
2044,,,123.01467895507812,175.28024291992188,208.10940551757812,224.67408752441406,267.3063049316406,279.10650634765625,,82.26214599609375,115.37847137451172,189.9261016845703,206.15139770507812,268.22003173828125,318.24041748046875,356.695556640625,77.70653533935547,86.0606689453125,94.55839538574219,147.0067138671875,189.09068298339844,730.3212890625,1313.8577880859375,1207.76025390625,,89.08904266357422,100.65430450439453,167.1871795654297,315.8908386230469,517.395263671875,497.084228515625,532.2630004882812,83.22809600830078,93.33138275146484,129.89378356933594,205.17239379882812,329.9884338378906,577.0228881835938,587.439453125,343.55084228515625,,180.1752471923828,201.67410278320312,349.41180419921875,644.3650512695312,1753.6510009765625,1119.702392578125,1057.320556640625,214.8449249267578,296.23248291015625,432.8879089355469,697.9620971679688,692.766845703125,790.9149169921875,925.0902099609375,1751.5233154296875,192.71951293945312,299.75689697265625,339.08660888671875,663.3707275390625,542.3793334960938,354.7897644042969,948.2076416015625,1435.3974609375
2045,,,88.69744110107422,124.51580810546875,146.18435668945312,161.75698852539062,251.01573181152344,236.6962127685547,,66.27180480957031,89.51980590820312,148.89944458007812,160.98684692382812,228.68145751953125,299.18255615234375,315.91693115234375,66.6242446899414,78.99880981445312,81.51810455322266,104.04817199707031,140.19287109375,414.24774169921875,1128.121826171875,933.9273071289062,,77.96759796142578,82.9148178100586,110.87506866455078,171.36424255371094,295.7234191894531,374.0826110839844,371.132568359375,71.04933166503906,79.62537384033203,97.02547454833984,124.29389953613281,176.54641723632812,291.1025390625,323.6053466796875,195.66957092285156,,137.9346466064453,138.49594116210938,253.0520477294922,339.79150390625,1299.6688232421875,480.741455078125,466.3044738769531,154.799560546875,253.45669555664062,346.7228088378906,471.1733703613281,454.2301330566406,460.41741943359375,398.7273254394531,1127.2994384765625,140.20591735839844,220.4970245361328,283.492431640625,529.3651733398438,463.0541687011719,286.9646301269531,397.2784118652344,1185.908935546875
2046,,,93.21389770507812,159.32907104492188,215.13209533691406,254.26600646972656,302.1978759765625,253.13037109375,,73.35977172851562,95.18495178222656,146.98060607910156,153.1678924560547,215.71949768066406,269.695068359375,305.9180603027344,85.8257064819336,109.0345458984375,105.99311828613281,104.24397277832031,123.8370361328125,406.9770202636719,781.2032470703125,836.9801635742188,,105.3796157836914,92.43070220947266,97.52149963378906,171.8602752685547,272.2535095214844,296.363037109375,375.88397216796875,75.68326568603516,81.1917724609375,88.13615417480469,104.5572509765625,179.02655029296875,300.90557861328125,360.3635559082031,248.19619750976562,,124.54191589355469,127.43975830078125,190.3046417236328,269.96917724609375,1129.0355224609375,807.7537231445312,870.8535766601562,272.4362487792969,272.9322814941406,386.3658142089844,532.4326782226562,453.5252380371094,444.6489562988281,847.4489135742188,1814.7144775390625,261.01458740234375,365.67626953125,475.5201110839844,1060.96240234375,461.853271484375,309.5338439941406,829.5397338867188,1925.0673828125
2047,,,249.1099395751953,405.50201416015625,566.0841674804688,657.7969360351562,896.5425415039062,753.7259521484375,,170.97264099121094,231.30517578125,413.49066162109375,442.5604248046875,607.0064086914062,776.686767578125,848.1016235351562,170.16334533691406,208.722900390625,207.01292419433594,223.19906616210938,258.6258239746094,876.3229370117188,1623.770263671875,1813.043701171875,,197.1707000732422,194.87330627441406,173.30918884277344,326.7773132324219,606.0274047851562,763.0982666015625,982.52490234375,135.1412353515625,155.54359436035156,160.30807495117188,209.93685913085938,347.47991943359375,629.32763671875,711.1329345703125,477.2431640625,,245.83355712890625,236.8397979736328,404.91461181640625,665.0415649414062,1845.990234375,1357.83447265625,1462.1959228515625,399.6018981933594,629.9541625976562,968.0487670898438,1133.38232421875,1078.8323974609375,1243.552490234375,1241.4378662109375,2186.2646484375,365.2455139160156,667.1300659179688,834.721923828125,1408.168212890625,1192.59228515625,839.3428344726562,1173.482177734375,2286.122802734375
2048,,,174.79727172851562,237.5577392578125,257.4640808105469,317.28753662109375,439.440673828125,452.41571044921875,,141.98117065429688,196.03506469726562,327.5213623046875,326.9339599609375,467.1790466308594,616.7442016601562,672.5994262695312,144.6049041748047,176.93801879882812,189.01235961914062,217.72970581054688,262.3199157714844,817.0868530273438,1742.7384033203125,1907.1190185546875,,172.08218383789062,182.47264099121094,176.95108032226562,355.5077209472656,653.2152099609375,935.98974609375,1242.6649169921875,129.50218200683594,153.9510955810547,174.30125427246094,214.1008758544922,377.1240539550781,688.5636596679688,794.6873168945312,416.0621643066406,,259.9703063964844,259.9964294433594,499.3685607910156,851.3779907226562,2125.00537109375,1615.71630859375,1211.114990234375,403.54400634765625,686.6578979492188,1100.1746826171875,1182.21484375,1127.782470703125,1283.2999267578125,1091.520263671875,1812.57373046875,379.695556640625,720.022216796875,1005.1202392578125,1403.965087890625,1193.7801513671875,740.529052734375,909.0476684570312,1777.82568359375
2049,,,224.2955322265625,350.0514221191406,448.31695556640625,499.3033142089844,608.8599853515625,678.35595703125,,128.9017333984375,188.12474060058594,410.55364990234375,526.0887451171875,787.207763671875,967.1741943359375,1107.88916015625,141.8114776611328,210.9550323486328,199.7813720703125,253.9005126953125,504.3157958984375,1569.42919921875,2558.193603515625,2847.625244140625,,182.5117950439453,160.3211212158203,349.00714111328125,762.2236938476562,1267.21826171875,1414.7470703125,1579.3236083984375,136.52488708496094,157.42327880859375,248.1309356689453,401.4815673828125,784.10107421875,1217.1717529296875,1377.16650390625,977.7473754882812,,286.3511047363281,367.3992919921875,769.8468017578125,1276.65576171875,3516.67431640625,2219.6943359375,1936.4368896484375,314.83349609375,409.7443542480469,761.74072265625,1177.202392578125,1323.804443359375,1822.01123046875,1886.4947509765625,3392.641357421875,285.13714599609375,388.54571533203125,416.6495666503906,981.5458984375,1247.5860595703125,1000.5385131835938,1562.354248046875,3342.85595703125
2050,,,71.66283416748047,104.9488525390625,140.17982482910156,174.75811767578125,227.2325439453125,196.68772888183594,,50.686119079589844,69.13048553466797,113.14634704589844,121.31774139404297,170.98570251464844,226.80178833007812,260.6882629394531,57.003936767578125,53.80586624145508,57.695762634277344,76.25761413574219,116.91876220703125,323.3703918457031,763.8553466796875,795.99267578125,,57.83934783935547,67.14637756347656,96.97325897216797,157.24053955078125,248.40505981445312,286.6774597167969,363.44415283203125,63.89609909057617,64.43128204345703,82.47100067138672,112.8983383178711,168.27059936523438,260.2052917480469,306.688232421875,196.51803588867188,,126.74793243408203,127.93578338623047,220.75808715820312,302.09344482421875,1044.1236572265625,598.913330078125,755.7883911132812,156.20932006835938,252.6212921142578,317.9532470703125,432.8879089355469,388.7154235839844,386.130859375,490.64892578125,1174.905029296875,143.73033142089844,237.06170654296875,289.82330322265625,511.1687927246094,345.0911560058594,267.149658203125,527.9815063476562,1325.5927734375
2051,,,159.57708740234375,222.52027893066406,259.9442138671875,279.628662109375,332.9776611328125,308.4112548828125,,127.43975830078125,168.4925079345703,253.40447998046875,247.9873504638672,325.05426025390625,326.0071716308594,317.5486145019531,126.74793243408203,170.42440795898438,169.73257446289062,159.7467803955078,213.6048583984375,690.7044067382812,1554.7049560546875,1308.192626953125,,152.7240753173828,153.48117065429688,189.4561767578125,341.697265625,584.8418579101562,630.5546264648438,612.1102905273438,89.36316680908203,107.65089416503906,139.69683837890625,217.33810424804688,357.70068359375,615.0211791992188,691.644287109375,369.6966857910156,,159.28990173339844,195.91757202148438,335.79718017578125,618.9241333007812,2154.884521484375,1256.5927734375,1097.0157470703125,234.3596649169922,290.6717834472656,431.6478576660156,591.9950561523438,600.4014282226562,774.5982666015625,1018.2127075195312,1988.506591796875,225.69224548339844,318.6189880371094,398.1790771484375,798.6163940429688,596.8639526367188,377.763671875,913.6946411132812,1940.4703369140625
2052,,,89.89835357666016,132.8699493408203,171.9385986328125,193.0850067138672,277.56622314453125,243.43173217773438,,65.72356414794922,90.43354034423828,151.57537841796875,162.3052215576172,232.5583038330078,298.00775146484375,321.6212463378906,62.81267166137695,71.75421142578125,79.46873474121094,107.3245620727539,144.38299560546875,394.7330017089844,896.8297119140625,976.7944946289062,,72.83763885498047,81.85749816894531,108.96928405761719,175.93292236328125,289.34033203125,381.457763671875,349.33349609375,73.19007873535156,75.85295867919922,87.20936584472656,112.59810638427734,182.26377868652344,294.8357849121094,340.156982421875,200.31655883789062,,120.80866241455078,128.9669952392578,202.06570434570312,287.69561767578125,929.4238891601562,535.2783203125,538.6721801757812,145.49252319335938,218.31710815429688,304.03839111328125,393.42767333984375,364.80169677734375,341.0707092285156,607.724365234375,916.5533447265625,129.46302795410156,206.80406188964844,283.3357849121094,566.9326782226562,383.78125,230.6525115966797,505.3470153808594,979.4443359375
2053,,,91.20368957519531,130.55950927734375,157.9845733642578,180.94540405273438,270.2302551269531,312.81024169921875,,75.91822814941406,100.53682708740234,157.2535858154297,152.16278076171875,236.68316650390625,359.5803527832031,344.0207824707031,84.83365631103516,95.86373138427734,101.94658660888672,116.74906921386719,141.44598388671875,386.4571838378906,970.0850830078125,1100.9056396484375,,96.30754089355469,105.35350799560547,101.63330078125,153.96414184570312,242.41357421875,382.2539978027344,467.9491882324219,112.06291961669922,96.55555725097656,104.06122589111328,114.0600814819336,160.21669006347656,247.42605590820312,349.8556213378906,252.97372436523438,,160.6343994140625,160.3602752685547,230.16954040527344,295.8017272949219,1084.74560546875,760.4353637695312,842.2667846679688,418.4900817871094,405.01904296875,491.6671142578125,641.75439453125,527.4332275390625,560.1448974609375,667.0648193359375,1632.7117919921875,400.8941650390625,571.3316040039062,683.812255859375,1226.7529296875,905.5363159179688,520.1103515625,659.4547119140625,1706.14990234375
2054,,,84.6639633178711,109.21729278564453,121.25247192382812,122.8580322265625,169.57594299316406,173.06118774414062,,64.84899139404297,85.34273529052734,131.99537658691406,134.3580322265625,175.99818420410156,197.84947204589844,234.09860229492188,57.8132438659668,72.3938217163086,77.8892822265625,93.8926773071289,120.66507720947266,311.26995849609375,702.5829467773438,688.1329345703125,,69.41766357421875,77.77179718017578,90.5379638671875,141.98117065429688,202.3789825439453,249.41017150878906,315.74725341796875,58.33537673950195,60.56749725341797,75.13502502441406,95.72013854980469,140.59751892089844,188.92098999023438,210.77227783203125,141.14576721191406,,96.32059478759766,95.6418228149414,173.8704833984375,202.9663848876953,960.8824462890625,569.1517333984375,619.1851806640625,150.3092041015625,206.84323120117188,272.1621398925781,364.0837707519531,329.57073974609375,362.3998718261719,534.83447265625,1321.6114501953125,163.80636596679688,239.77679443359375,303.9861755371094,610.073974609375,353.69329833984375,230.97885131835938,609.5256958007812,1349.2193603515625
2055,,,85.0555648803711,137.5430450439453,185.81430053710938,219.3744354248047,338.51226806640625,293.89593505859375,,60.04536437988281,81.11345672607422,128.60150146484375,137.94769287109375,184.40452575683594,322.1172790527344,377.6070251464844,66.14127349853516,76.53173065185547,78.73774719238281,95.47212982177734,141.69400024414062,391.0258483886719,877.6804809570312,952.1236572265625,,76.57089233398438,77.18440246582031,115.22183227539062,189.5736541748047,281.7824401855469,386.7443542480469,513.0615234375,63.89609909057617,72.30245208740234,93.0703125,129.86767578125,196.80520629882812,294.9271545410156,372.8033752441406,230.548095703125,,112.45452117919922,129.4891357421875,199.3114471435547,294.9402160644531,1233.2664794921875,723.9251708984375,631.1812133789062,151.13157653808594,183.4907989501953,272.188232421875,443.1347961425781,418.93389892578125,548.5927124023438,691.5789794921875,1248.6563720703125,167.0697021484375,201.37387084960938,242.12640380859375,592.4258422851562,437.7176513671875,282.4612121582031,624.7067260742188,1363.4735107421875
